fips,area
35006,4539.48
30051,1430.045
30059,2391.913
30069,1654.871
30093,718.477
30099,2272.375
30107,1423.195
31003,857.218
31009,710.874
31023,584.907
31035,572.289
31037,411.66
31047,1013.096
31053,528.706
31063,974.592
31073,458.155
31085,713.062
31093,569.337
31097,376.051
31117,858.976
28079,583.0
28083,592.539
28095,765.094
28099,570.141
28103,695.138
28115,497.689
28117,414.98
28127,589.163
28139,457.815
28151,724.741
29001,567.324
29009,778.251
29021,408.027
29033,694.621
29043,562.645
29053,564.765
29065,752.79
29075,491.422
29085,399.091
37001,423.943
37005,235.059
37017,874.328
37021,656.672
37027,471.566
37055,383.42
37057,552.675
37067,408.148
37081,645.704
37091,353.06
37103,470.708
37117,461.217
37127,540.407
37141,869.795
37151,782.517
37165,318.845
37167,395.086
39055,400.164
39063,531.358
39065,470.405
39075,422.533
39089,682.5
39097,465.875
39109,406.58
39121,398.012
39131,440.282
39143,408.453
39147,551.017
39159,431.73
39169,554.929
39173,617.205
40009,901.805
40019,822.175
40031,1069.287
40043,999.476
40053,1000.871
37181,253.517
37191,553.087
37197,334.829
38007,1148.853
38019,1488.751
38031,635.453
38035,1436.376
38045,1145.943
38061,1825.298
38073,862.357
38079,903.079
38091,712.215
38103,1271.047
39003,402.496
39015,490.016
39027,408.684
39039,411.46
39047,406.357
35015,4175.726
35027,4831.091
35028,109.167
35045,5513.067
35053,6646.679
36003,1029.308
36021,634.705
36037,492.936
36043,1411.47
36057,403.043
36069,644.065
36083,652.431
36095,621.819
36109,474.649
36121,592.746
36123,338.143
42013,525.8
42015,1147.399
42021,688.351
42031,600.834
42047,827.358
42063,827.03
42069,459.078
42087,411.031
42093,130.242
42105,1081.323
42113,449.94
42123,884.135
45005,408.09
45009,393.37
45027,606.936
45039,686.277
47005,394.142
47007,406.425
47013,480.191
47027,236.536
47031,428.957
47045,512.327
47057,280.6
47069,667.768
47081,612.499
47093,508.215
47105,229.216
47117,375.46
47129,522.18
47139,434.676
47151,532.297
47173,223.549
47179,326.465
45049,559.896
45053,655.318
45075,1106.101
45081,452.778
46003,708.425
46007,1184.709
46017,471.384
46029,688.495
46035,435.555
46043,431.802
46055,1810.534
46061,434.513
46087,574.204
46095,1307.306
46103,2776.553
46111,569.321
46125,617.057
46137,1961.272
40059,1039.017
40063,804.647
40073,898.161
40081,952.314
40087,570.701
40097,655.386
40109,708.819
40123,720.435
40127,1395.836
40147,415.454
40153,1242.399
41017,3018.186
41031,1780.785
41037,8138.984
41053,740.787
41069,1714.749
42005,653.203
48357,917.627
48359,1500.533
48367,903.478
48379,229.452
48381,911.544
48393,924.058
48397,127.036
48411,1135.297
48425,186.463
48429,896.719
48433,916.313
48445,888.839
48449,406.054
48459,582.947
48463,1551.946
48475,835.602
48491,1118.303
48497,904.422
48507,1297.406
49011,298.778
47185,376.673
47189,570.826
48009,903.11
48011,909.109
48021,888.15
48031,709.251
48047,943.364
48053,994.258
48063,195.826
48069,894.434
48079,775.15
48095,983.799
48099,1052.066
48103,785.069
48115,900.306
48123,908.975
48127,1328.884
48137,2117.858
48149,950.008
48159,284.391
48169,893.412
48177,1066.688
48179,925.974
48185,787.459
48191,883.492
48195,919.81
48217,958.864
48227,900.791
48233,887.419
48247,1136.138
48251,724.692
48263,902.507
48265,1103.318
48275,850.621
48283,1486.691
48297,1039.696
48303,895.599
48309,1037.101
48319,928.803
48329,900.299
48339,1041.735
48349,1009.627
48353,911.997
51121,387.014
51125,470.856
51141,483.096
51145,260.221
51155,319.858
51157,266.227
51173,450.928
51187,213.465
51197,461.824
51510,15.027
51530,6.704
51540,10.238
51595,6.894
51660,17.418
51670,10.278
51760,59.805
51775,14.437
51820,15.039
53013,868.629
53021,1242.171
55029,481.978
55033,850.105
55039,719.553
55045,583.957
55063,451.686
55069,878.973
55073,1544.983
55081,900.776
55095,913.962
55103,586.151
55115,893.057
55129,797.113
55141,793.116
56025,5340.352
56031,2084.208
56033,2523.993
56045,2398.089
72013,125.947
53041,2402.802
53045,959.417
53065,2477.765
54001,341.059
54007,510.812
54013,279.249
54021,338.503
54039,901.587
54049,308.735
54061,360.062
54079,345.669
54089,360.46
54101,553.468
55003,1045.035
55005,862.711
55007,1477.863
55017,1008.373
55025,1197.239
49029,609.196
49031,757.791
49035,742.282
49051,1175.501
50005,648.864
50019,693.268
51007,355.269
51017,529.158
51029,579.657
51043,176.177
51047,379.234
51063,380.42
51075,281.415
51101,273.941
51111,431.683
51113,320.683
01023,913.5
01025,1238.465
01029,560.1
01031,678.972
01037,650.926
01047,978.695
01055,534.991
01059,633.821
01061,574.408
01067,561.75
01071,1077.868
01081,607.536
01085,715.911
01087,608.885
01089,801.593
02070,18568.778
02110,2701.931
02130,4858.414
